generation,survivalRate
0,9.5
1,10.2
2,11.8
3,14.300001
4,15.099999
5,20.900002
6,21.6
7,23.4
8,34.9
9,41.0
10,51.7
11,42.8
12,51.0
13,58.600002
14,61.799995
15,59.3
16,59.7
17,60.2
18,59.899998
19,66.5
20,68.5
21,63.200005
22,66.1
23,62.4
24,63.4
25,66.399994
26,64.3
27,74.0
28,67.6
29,59.399998
30,65.7
31,62.800003
32,63.4
33,72.899994
34,64.600006
35,67.0
36,73.5
37,63.5
38,64.600006
39,66.799995
40,64.4
41,77.200005
42,78.7
43,60.2
44,64.0
45,77.0
46,78.799995
47,69.5
48,65.6
49,77.4
50,77.3
51,69.2
52,76.700005
53,75.9
54,75.0
55,73.7
56,77.9
57,76.700005
58,77.4
59,77.5
60,74.9
61,80.2
62,73.2
63,79.2
64,82.5
65,76.6
66,71.6
67,80.0
68,71.4
69,76.3
70,67.0
71,84.5
72,77.100006
73,70.200005
74,77.5
75,72.1
76,69.0
77,76.5
78,75.4
79,80.9
80,83.4
81,71.8
82,71.5
83,80.9
84,75.6
85,73.299995
86,75.2
87,73.2
88,81.2
89,80.9
90,73.2
91,72.899994
92,75.3
93,71.5
94,66.299995
95,79.4
96,73.299995
97,80.6
98,78.1
99,78.2
100,76.0
101,81.2
102,78.7
103,78.0
104,75.9
105,74.9
106,78.1
107,77.4
108,73.2
109,75.4
110,79.6
111,77.0
112,83.3
113,68.7
114,74.299995
115,76.0
116,75.8
117,81.0
118,73.7
119,75.9
120,76.4
121,72.5
122,67.299995
123,73.6
124,69.6
125,74.299995
126,74.8
127,68.6
128,76.0
129,75.0
130,77.5
131,75.2
132,75.9
133,78.799995
134,76.1
135,75.9
136,75.4
137,67.0
138,64.3
139,74.1
140,73.1
141,62.699997
142,64.9
143,67.9
144,67.799995
145,69.9
146,66.7
147,75.1
148,70.6
149,69.9
150,65.100006
151,70.5
152,68.2
153,70.200005
154,72.7
155,68.5
156,66.6
157,64.1
158,68.4
159,68.8
160,75.2
161,66.6
162,65.4
163,78.3
164,75.1
165,67.4
166,61.5
167,65.4
168,63.9
169,67.7
170,63.7
171,68.5
172,65.100006
173,67.4
174,69.9
175,67.799995
176,64.9
177,72.0
178,73.1
179,66.799995
180,69.700005
181,68.5
182,73.9
183,69.2
184,66.9
185,63.800003
186,64.5
187,66.6
188,71.4
189,69.8
190,66.299995
191,65.100006
192,61.6
193,69.8
194,69.8
195,70.6
196,71.4
197,76.200005
198,78.3
199,78.2
200,70.5
201,74.5
202,73.1
203,64.4
204,72.899994
205,71.6
206,79.299995
207,73.799995
208,74.299995
209,73.2
210,80.6
211,66.9
212,77.4
213,74.8
214,71.9
215,74.9
216,75.700005
217,81.2
218,70.4
219,79.7
220,76.0
221,75.6
222,78.5
223,67.2
224,66.799995
225,72.6
226,74.7
227,72.1
228,79.7
229,71.9
230,78.5
