generation,survivalRate
0,49.1
1,49.8
2,52.7
3,49.6
4,48.6
5,54.100002
6,50.700005
7,50.9
8,51.7
9,51.5
10,57.200005
11,52.7
12,58.2
13,59.100002
14,61.1
15,66.1
16,63.6
17,66.6
18,69.2
19,73.6
20,76.3
21,78.1
22,81.9
23,82.1
24,86.1
25,86.9
26,87.6
27,91.2
28,93.9
29,91.1
30,91.5
31,92.1
32,91.9
33,95.3
34,93.0
35,92.1
36,93.7
37,94.2
38,91.1
39,95.200005
40,94.3
41,94.5
42,95.0
43,96.8
44,96.7
45,97.799995
46,95.1
47,97.6
48,96.200005
49,96.4
50,96.7
51,98.9
52,97.5
53,95.9
54,97.899994
55,96.5
56,98.799995
57,98.0
58,96.8
59,96.3
60,97.399994
61,95.9
62,94.700005
63,97.899994
64,98.2
65,97.899994
66,97.7
67,97.899994
68,97.899994
69,97.399994
70,98.299995
71,97.2
72,98.5
73,98.1
74,98.6
75,98.7
76,98.2
77,96.9
78,98.0
79,97.2
80,98.9
81,97.799995
82,97.799995
83,98.299995
84,97.799995
85,98.6
86,96.6
87,99.2
88,99.0
89,97.399994
90,98.7
91,98.9
92,99.1
93,98.5
94,97.5
95,99.299995
96,98.7
97,98.5
98,98.9
99,99.4
100,98.9
101,97.2
102,98.799995
103,99.4
104,99.299995
105,98.5
106,98.2
107,98.799995
108,99.299995
109,99.7
110,98.7
111,99.5
112,98.799995
113,98.6
114,98.799995
115,98.0
116,99.7
117,97.799995
118,98.7
119,97.7
120,98.1
121,98.799995
122,98.799995
123,98.6
124,97.2
125,98.4
126,97.0
127,97.5
128,99.5
129,98.1
130,97.799995
131,98.299995
132,99.0
133,98.5
134,99.4
135,98.5
136,97.799995
137,99.299995
138,98.799995
139,99.0
140,99.2
141,98.799995
142,98.4
143,97.899994
144,98.9
145,99.4
146,99.9
147,99.0
148,99.299995
149,98.5
150,99.6
151,99.1
152,97.899994
153,99.4
154,99.2
155,99.4
156,98.9
157,99.2
158,99.299995
159,99.299995
160,99.0
161,98.9
162,98.9
163,99.299995
164,99.299995
165,98.799995
166,99.9
167,98.799995
168,99.6
169,99.8
170,99.299995
171,99.299995
172,99.4
173,99.4
174,99.0
175,99.4
176,99.299995
177,99.5
178,99.0
179,98.9
180,98.799995
181,99.7
182,99.5
183,99.299995
184,98.9
185,99.4
186,99.2
187,99.299995
188,99.8
189,99.299995
190,98.7
191,99.8
192,99.2
193,99.299995
194,99.2
195,99.5
196,99.5
197,99.9
198,99.4
199,99.8
200,99.7
201,99.8
202,99.6
203,99.4
204,99.6
205,99.6
206,99.6
207,99.4
208,99.8
209,99.7
210,99.5
211,99.2
212,99.8
213,99.7
214,99.299995
215,99.1
216,99.1
217,99.5
218,99.299995
219,99.299995
220,99.1
221,99.5
222,99.2
223,99.2
